title,desc,year,genre,certificate,runtime,rating,votes
Puss in Boots: The Last Wish,Puss in Boots discovers that his passion for adventure has taken its toll: he has burned through eight of his nine lives. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.,2022,"Animation, Adventure, Comedy",U,102 min,7.8,"18,226"
Strange World,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.,2022,"Animation, Action, Adventure",PG,102 min,5.5,"27,296"
Guillermo del Toro's Pinocchio,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.",2022,"Animation, Drama, Family",PG,117 min,7.7,"60,908"
Star Wars: The Bad Batch,The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.,2021– ,"Animation, Action, Adventure",PG,,7.8,"35,962"
Rick and Morty,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,2013– ,"Animation, Adventure, Comedy",16+,23 min,9.1,"527,839"
Encanto,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,2021,"Animation, Comedy, Family",U,102 min,7.2,"223,651"
Chainsaw Man,"Following a betrayal, a young man left for the dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.",2022– ,"Animation, Action, Adventure",,25 min,8.6,"22,234"
Family Guy,"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another.",1999– ,"Animation, Comedy",16,22 min,8.2,"342,480"
Shingeki no Kyojin,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",2013–2023,"Animation, Action, Adventure",13,24 min,9.0,"375,741"
The Super Mario Bros. Movie,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom,2023,"Animation, Adventure, Comedy",PG,,,
The Simpsons,The satiric adventures of a working-class family in the misfit city of Springfield.,1989– ,"Animation, Comedy",U,22 min,8.7,"409,471"
"The Boy, the Mole, the Fox and the Horse","Follows a boy, a mole, a fox and a horse, as they create an unexpected friendship and travel together in the boy's search for home.",2022,"Animation, Family",U,32 min,8.1,"3,893"
One Piece: Wan pîsu,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",1999– ,"Animation, Action, Adventure",7,24 min,8.9,"127,813"
Puss in Boots,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town.",2011,"Animation, Adventure, Comedy",U,90 min,6.6,"164,461"
Disenchanted,"Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.",2022,"Animation, Adventure, Comedy",UA 7+,119 min,5.6,"19,267"
The Bad Guys,"To avoid prison, a gang of notorious animal criminals pretend to seek being rehabilitated, only for their leader to secretly find that he genuinely wants to change his ways.",2022,"Animation, Adventure, Comedy",U,100 min,6.8,"41,895"
South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",1997– ,"Animation, Comedy",18+,22 min,8.7,"371,408"
Boku no hîrô akademia,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,2016– ,"Animation, Action, Adventure",16,24 min,8.4,"63,970"
